name,id_production_companies,id_movies
Warner Bros.,6194.0,36929
Morgan Creek Productions,10210.0,36929
The Movie Network (TMN),3388.0,9102
Allegro Films,4899.0,9102
Fuji Eight Company Ltd.,7958.0,9102
Fries Film Group,23096.0,9102
Super Ecran,23097.0,9102
Triumph Films,23098.0,9102
Zweites Deutsches Fernsehen (ZDF),4606.0,124626
Ciak Filmproduktion,83201.0,124626
Bluehorse Films,93174.0,124626
Miramax Films,14.0,27526
Columbia Pictures Corporation,441.0,9623
I.R.I.B. Channel 2,38953.0,46785
Ferdos Films,38954.0,46785
Miramax Films,14.0,400
Bergen Film,575.0,880
Bard Entertainments,576.0,880
NPS Televisie,577.0,880
BET Pictures,38196.0,146599
United Image Entertainme,38197.0,146599
Playhouse International Pictures,2492.0,8447
The Samuel Goldwyn Company,8888.0,8447
Hollywood Pictures,915.0,10534
Largo Entertainment,1644.0,10534
Scott Free Productions,1645.0,10534
Twentieth Century Fox Film Corporation,306.0,17414
Joe Wizan/Todd Black,3311.0,17414
Paramount Pictures,4.0,13997
Paramount Pictures,4.0,2086
Miramax Films,14.0,61548
Addis Wechsler Pictures,4665.0,61548
TriStar Pictures,559.0,9095
NFH Productions,18737.0,9095
Paramount Pictures,4.0,12158
Miramax Films,14.0,9283
Woods Entertainment,979.0,9283
Twentieth Century Fox Film Corporation,306.0,9208
WCG Entertainment Productions,456.0,9208
Mark Gordon Productions,11362.0,9208
Castle Rock Entertainment,97.0,40154
Midwinter Films,75942.0,40154
Egg Pictures,802.0,406
PolyGram Filmed Entertainment,1382.0,406
Canal+,5358.0,406
Les Productions Lazennec,5869.0,406
La Sept Cinéma,16366.0,406
Kasso Inc. Productions,22684.0,406
Studio Image,68517.0,406
Cofinergie 6,68518.0,406
Channel Four Films,181.0,45549
British Broadcasting Corporation (BBC),3324.0,63076
Westdeutscher Rundfunk (WDR),7025.0,63076
Canadian Broadcasting Corporation (CBC),12113.0,63076
Cinemax Reel Life,12911.0,63076
InPictures,12912.0,63076
Lafayette Films,12913.0,63076
Columbia Pictures,5.0,11062
Castle Rock Entertainment,97.0,11062
Gracie Films,18.0,13685
Columbia Pictures Corporation,441.0,13685
Touchstone Pictures,9195.0,47475
Metro-Goldwyn-Mayer (MGM),8411.0,2045
Dino De Laurentiis Company,10308.0,2045
Spelling Films,10355.0,2045
Universal Pictures,33.0,9614
Brillstein-Grey Entertainment,1606.0,9614
Robert Simonds Productions,3929.0,9614
Amblin Entertainment,56.0,688
Malpaso Productions,171.0,688
Warner Bros.,6194.0,688
Walt Disney Pictures,2.0,10874
Jim Henson Productions,2504.0,10874
"Jim Henson Company, The",6254.0,10874
Icon Entertainment International,4564.0,197
The Ladd Company,7965.0,197
B.H. Finance C.V.,11353.0,197
Columbia Pictures Corporation,441.0,103
Italo/Judeo Productions,46059.0,103
Bill/Phillips,46060.0,103
New Line Cinema,12.0,33542
Golden Harvest Company,2521.0,33542
Caravan Pictures,175.0,43566
Hollywood Pictures,915.0,43566
Téléfilm Canada,806.0,71754
Skyline Films,2055.0,71754
Malofilm,3498.0,71754
Société de Développement des Entreprises Culturelles (SODEC),9116.0,71754
British Screen Productions,12745.0,71754
National Film Board of Canada (NFB),17027.0,71754
imX Communications,22150.0,71754
Glace Bay Pictures,38673.0,71754
Ciné Télé Action,38674.0,71754
Nova Scotia Film Development Corporation,40534.0,71754
Ranfilm,85045.0,71754
France 2 Cinéma,83.0,43612
France 3 Cinéma,591.0,43612
StudioCanal,694.0,43612
Les Productions du Champ Poirier,883.0,43612
Téléma Productions,885.0,43612
Bavaria Film and Television Fund,3236.0,16934
TriStar Pictures,559.0,10324
Motion Picture Corporation of America (MPCA),11061.0,10324
Savoy Pictures,11308.0,78406
TriStar Pictures,559.0,55731
Paramount Pictures,4.0,11066
Jet Tone Production,540.0,11104
The Criterion Collection,10932.0,11104
Cecchi Gori Group Tiger Cinematografica,371.0,37975
Miramax Films,14.0,2074
Studio Babelsberg,264.0,27793
Dieter Geissler Filmproduktion,1766.0,27793
Cinevox Filmproduktion GmbH,1979.0,27793
Warner Bros.,6194.0,27793
Miramax,53009.0,27793
Canal Horizons,22029.0,44284
Mat Films,22618.0,44284
Cinétéléfilms,71842.0,44284
Fine Line Features,8.0,73067
Channel Four Films,181.0,73067
Bórd Scannán na hÉireann,1898.0,73067
Canal+,5358.0,73067
Paramount Pictures,4.0,11863
Cigua Films,93488.0,55475
D'Pelicula,93489.0,55475
Twentieth Century Fox Film Corporation,306.0,9101
Couch Potatoe Productions,68229.0,123360
Channel Four Films,181.0,39428
Academy,38778.0,39428
Mayfair Films,94477.0,39428
Iberoamerica Films,94478.0,39428
Cinergi Pictures Entertainment,1504.0,9302
Touchstone Pictures,9195.0,9302
United Artists,60.0,11000
Fox Searchlight Pictures,43.0,16388
Columbia Pictures,5.0,9737
Don Simpson/Jerry Bruckheimer Films,10288.0,9737
Warner Bros.,6194.0,30765
New Line Cinema,12.0,10474
Island Pictures,3492.0,10474
Fine Line Features,8.0,22279
BBC,5996.0,22279
British Screen Productions,12745.0,22279
Portman Productions,16027.0,22279
Channel Four Films,181.0,30157
Zenith Entertainment,3644.0,30157
American Playhouse,3906.0,30157
Union Générale Cinématographique (UGC),7248.0,30157
La Sept Cinéma,16366.0,30157
True Fiction Pictures,37909.0,30157
Imagine Entertainment,23.0,568
Universal Pictures,33.0,568
United Artists,60.0,11780
Talisman Productions,8989.0,11780
October Films,236.0,34996
Guild,1214.0,34996
Fastnet Films,5353.0,34996
Warner Bros.,6194.0,414
Polygram Filmed Entertainment,31080.0,414
Paris Films Productions,386.0,649
Five Films,387.0,649
Robert et Raymond Hakim,11290.0,649
Columbia Pictures,5.0,1873
Castle Rock Entertainment,97.0,1873
Miramax Films,14.0,5894
InterAL,30334.0,5894
PolyGram Filmed Entertainment,1382.0,1775
Universal Pictures,33.0,8839
Amblin Entertainment,56.0,8839
The Harvey Entertainment Company,11098.0,8839
Universal Pictures,33.0,20649
40 Acres & A Mule Filmworks,4319.0,20649
Paramount Pictures,4.0,10329
"Kennedy/Marshall Company, The",7383.0,10329
Hollywood Pictures,915.0,8963
Don Simpson/Jerry Bruckheimer Films,10288.0,8963
Superior Pictures,4532.0,26564
Columbia Pictures,5.0,8068
Los Hooligans Productions,11705.0,8068
TriStar Pictures,559.0,8512
Mundy Lane Entertainment,2510.0,8512
Twentieth Century Fox Film Corporation,306.0,1572
Cinergi Pictures Entertainment,1504.0,1572
Why Not Productions,729.0,13552
Desperate Pictures,1474.0,13552
Blurco,2765.0,13552
The Teen Angst Movie Company,18902.0,13552
Touchstone Pictures,9195.0,259209
Merchant Ivory Productions,20740.0,259209
Columbia Pictures Corporation,441.0,6520
First Knight Productions,10158.0,6520
Regency Enterprises,508.0,9073
Alcor Films,644.0,9073
Canal+,5358.0,9073
Donner/Shuler-Donner Productions,5739.0,9073
Warner Bros.,6194.0,9073
United Artists,60.0,10428
Suftley,87394.0,10428
The Booking Office,12909.0,17447
Workin' Man Films,12910.0,17447
TriStar Pictures,559.0,9886
Alliance Communications Corporation,2480.0,9886
Hollywood Pictures,915.0,9482
Cinergi Pictures Entertainment,1504.0,9482
TriStar Pictures,559.0,19326
Miramax Films,14.0,9344
JDI productions,13187.0,9071
Lemon Sky Productions,13190.0,9071
United Artists,60.0,8973
Seraphim Films,3557.0,8973
The Ontario Film Development Corporation,1203.0,15730
First Choice Films,2267.0,15730
Atlantis Films,4350.0,15730
Telefilm Canada,7320.0,15730
Max Films Productions,7828.0,15730
Super Écran,11578.0,15730
Société Générale des Industries Culturelles du Québec (SOGIC),35859.0,15730
Touchstone Pictures,9195.0,47608
Universal Pictures,33.0,2293
Gramercy Pictures,37.0,2293
Alphaville Films,11462.0,2293
View Askew Productions,16934.0,2293
Twentieth Century Fox Film Corporation,306.0,9070
Saban Entertainment,2106.0,9070
Toei Company,9255.0,9070
PolyGram Filmed Entertainment,1382.0,68274
Working Title Films,10163.0,68274
Comet Film Produktion GmbH,16561.0,48787
Avrora Media,38959.0,48787
Cobblestone Pictures,38960.0,48787
Kino Link Company,37897.0,34574
Columbia Pictures,5.0,1642
Twentieth Century Fox Film Corporation,306.0,11472
1492 Pictures,436.0,11472
Party Productions,37890.0,36196
Dimension Films,7405.0,11980
Playhouse International Pictures,2492.0,58372
American Playhouse,3906.0,58372
"Samuel Goldwyn Company, The",28205.0,58372
Killer Films,1422.0,32646
American Playhouse,3906.0,32646
Kardana Films,38692.0,32646
Chemical Films,39861.0,32646
Hollywood Pictures,915.0,10533
Cinergi Pictures Entertainment,1504.0,10533
United Artists,60.0,10802
Le Studio Canal+,183.0,10802
Carolco Pictures,14723.0,10802
Miramax Films,14.0,10149
Spring Creek Productions,705.0,18402
Warner Bros.,6194.0,18402
Hawn / Sylbert Movie Company,16368.0,18402
Metro-Goldwyn-Mayer (MGM),8411.0,9348
Malpaso Productions,171.0,139408
Butcher's Run Films,3864.0,139408
Warner Bros.,6194.0,139408
Lightstorm Entertainment,574.0,281
Beta Film,1080.0,5967
Madeleine Films,1147.0,5967
Parc Film,14680.0,5967
Hollywood Pictures,915.0,79593
PolyGram Filmed Entertainment,1382.0,79593
Interscope Communications,10201.0,79593
Savoy Pictures,11308.0,47939
Société Française de Production (SFP),6849.0,36834
FIT Productions,16026.0,36834
Portman Productions,16027.0,36834
Universal Pictures,33.0,9090
Amblin Entertainment,56.0,9090
Regency Enterprises,508.0,3512
Warner Bros.,6194.0,3512
Seagal/Nasso Productions,17825.0,3512
Victor Company of Japan (JVC),21480.0,3512
Cutting Edge Films,63906.0,3512
Hollywood Pictures,915.0,52856
Twentieth Century Fox Film Corporation,306.0,9560
Zucker Brothers Productions,2851.0,9560
Universal Pictures,33.0,9804
Gordon Company,1073.0,9804
Davis Entertainment,1302.0,9804
Licht/Mueller Film Corporation,6092.0,9804
HBO,6068.0,31611
A BandApart,6911.0,31611
Rysher Entertainment,11661.0,31611
United Artists,60.0,65796
Paramount Pictures,4.0,49805
Twentieth Century Fox Film Corporation,306.0,26258
Canal+,5358.0,50797
Studio Trite,6453.0,50797
Caméra One,6454.0,50797
PolyGram Audiovisuel,6367.0,19155
British Screen Productions,12745.0,19155
Detour Film Production,98.0,76
Warner Bros.,6194.0,76
Jack Giarraputo Productions,6365.0,11017
Spelling Films International,18189.0,37141
Regency Enterprises,508.0,9382
Alcor Films,644.0,9382
Canal+,5358.0,9382
New Regency Pictures,10104.0,9382
Hera Productions,16192.0,9382
Universal Pictures,33.0,6715
Island World,1595.0,6715
Full Moon Entertainment,4867.0,18256
The Rank Organisation,364.0,22625
Bórd Scannán na hÉireann,1898.0,22625
Lantana,4127.0,22625
Price Entertainment,23808.0,22625
Miramax Films,14.0,2292
View Askew Productions,16934.0,2292
